Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
1,Manchester City,eng ENG,1,29,22,4,3,68,18,50,70,2.41,66.9,21.2,45.7,1.58,W L W W D,"52,681","Riyad Mahrez, Raheem Sterling - 10",Ederson
2,Liverpool,eng ENG,2,29,21,6,2,75,20,55,69,2.38,72,27.6,44.4,1.53,W W W W W,"53,459",Mohamed Salah - 20,Alisson
3,Bayern Munich,de GER,1,27,20,3,4,81,28,53,63,2.33,73.1,27.4,45.7,1.69,W W D D W,"24,214",Robert Lewandowski - 31,Manuel Neuer
4,Real Madrid,es ESP,1,29,20,6,3,59,25,34,66,2.28,53.4,32.8,20.5,0.71,W W W W L,"38,892",Karim Benzema - 22,Thibaut Courtois
5,Paris S-G,fr FRA,1,29,20,5,4,59,27,32,65,2.24,55.1,29.8,25.3,0.87,L W L W L,"40,513",Kylian Mbappé - 15,Keylor Navas
6,Milan,it ITA,1,30,20,6,4,56,29,27,66,2.2,47.8,29.4,18.4,0.61,D D W W W,"35,359","Olivier Giroud, Rafael Leão... - 8",Mike Maignan
7,Chelsea,eng ENG,3,28,17,8,3,57,19,38,59,2.11,46.7,24.8,21.9,0.78,W W W W W,"37,932",Mason Mount - 8,Edouard Mendy
8,Dortmund,de GER,2,27,18,3,6,67,38,29,57,2.11,48.4,33.9,14.5,0.54,W D W W D,"29,859",Erling Haaland - 16,Gregor Kobel
9,Napoli,it ITA,2,30,19,6,5,53,22,31,63,2.1,46.9,22.3,24.7,0.82,D W L W W,"22,237",Victor Osimhen - 11,David Ospina
10,Inter,it ITA,3,29,17,9,3,62,24,38,60,2.07,60.2,30.8,29.4,1.01,L D W D D,"36,644",Lautaro Martínez - 14,Samir Handanović
11,Sevilla,es ESP,2,29,15,12,2,40,19,21,57,1.97,32.2,26.4,5.8,0.2,D W D D D,"27,826",Rafa Mir - 8,Yassine Bounou
12,Juventus,it ITA,4,30,17,8,5,47,26,21,59,1.97,40.3,28.4,11.9,0.4,D W W W W,"16,786","Álvaro Morata, Paulo Dybala - 8",Wojciech Szczęsny
13,Barcelona,es ESP,3,28,15,9,4,56,29,27,54,1.93,50.4,25,25.4,0.91,W W W W W,"50,883",Memphis Depay - 10,Marc-André ter Stegen
14,Arsenal,eng ENG,4,28,17,3,8,44,31,13,54,1.93,43.1,34.2,9,0.32,W W W L W,"59,533","Emile Smith Rowe, Bukayo Saka - 9",Aaron Ramsdale
15,Atlético Madrid,es ESP,4,29,16,6,7,53,36,17,54,1.86,39.7,25.8,13.9,0.48,W W W W W,"45,839",Ángel Correa - 11,Jan Oblak
16,Marseille,fr FRA,2,29,15,8,6,45,27,18,53,1.83,41.5,31.4,10.1,0.35,L D L W W,"49,578",Dimitri Payet - 9,Pau López
17,Rennes,fr FRA,3,29,16,4,9,63,28,35,52,1.79,49.3,28.5,20.8,0.72,W W W W W,"24,767",Martin Terrier - 16,Alfred Gomis
18,Leverkusen,de GER,3,27,14,6,7,66,41,25,48,1.78,50,36.8,13.1,0.49,L W D L W,"14,514",Patrik Schick - 20,Lukáš Hrádecký
19,Atalanta,it ITA,6,29,14,9,6,51,31,20,51,1.76,47.4,31.7,15.7,0.54,L W L D W,"9,350","Mario Pašalić, Duván Zapata - 9",Juan Musso
20,Tottenham,eng ENG,5,29,16,3,10,47,36,11,51,1.76,48.5,32.5,16,0.55,W W L W W,"55,319",Son Heung-min - 13,Hugo Lloris
21,Nice,fr FRA,4,29,15,6,8,39,23,16,50,1.72,42.8,35.8,7,0.24,W D W D L,"14,625",Amine Gouiri - 10,Walter Benítez
22,Betis,es ESP,5,29,15,5,9,50,35,15,50,1.72,42.4,35.9,6.5,0.22,W L L W D,"40,649",Juanmi - 12,Rui Silva
23,Manchester Utd,eng ENG,6,29,14,8,7,48,40,8,50,1.72,44.8,41.3,3.5,0.12,W W D L W,"73,066",Cristiano Ronaldo - 12,David de Gea
24,Roma,it ITA,5,30,15,6,9,50,35,15,51,1.7,52.3,31.8,20.5,0.68,D W W D W,"36,566",Tammy Abraham - 15,Rui Patrício
25,RB Leipzig,de GER,4,27,13,6,8,57,30,27,45,1.67,52.4,35.4,17,0.63,W W D W D,"18,443",Christopher Nkunku - 15,Péter Gulácsi
26,Freiburg,de GER,5,27,12,9,6,43,29,14,45,1.67,39.6,33.9,5.7,0.21,W W D W D,"13,885",Vincenzo Grifo - 7,Mark Flekken
27,Strasbourg,fr FRA,5,29,13,9,7,50,32,18,48,1.66,44.7,31.4,13.3,0.46,D D D W D,"22,788",Ludovic Ajorque - 10,Matz Sels
28,Real Sociedad,es ESP,6,29,13,9,7,29,29,0,48,1.66,37.6,30.5,7.1,0.25,W W L W D,"26,568",Mikel Oyarzabal - 9,Álex Remiro
29,Lazio,it ITA,7,30,14,7,9,58,45,13,49,1.63,42.9,37.8,5.1,0.17,D L W W L,"21,083",Ciro Immobile - 21,"Thomas Strakosha, Pepe Reina"
30,Hoffenheim,de GER,6,27,13,5,9,49,40,9,44,1.63,46,38.2,7.8,0.29,W W W D L,"8,929",Ihlas Bebou - 7,Oliver Baumann
31,Fiorentina,it ITA,8,29,14,5,10,48,38,10,47,1.62,45.6,35.6,10,0.34,W L D W D,"17,866",Dušan Vlahović - 17,Pietro Terracciano
32,West Ham,eng ENG,7,30,14,6,10,49,39,10,48,1.6,40.8,38.6,2.2,0.07,D W L W L,"57,945","Jarrod Bowen, Michail Antonio - 8",Łukasz Fabiański
33,Lille,fr FRA,6,29,12,10,7,38,35,3,46,1.59,41,31.3,9.7,0.33,D W W D W,"32,760",Jonathan David - 13,Ivo Grbić
34,Villarreal,es ESP,7,29,12,9,8,48,27,21,45,1.55,48.8,33.3,15.4,0.53,W W L W L,"13,816","Gerard Moreno, Arnaut Groeneveld - 8",Gerónimo Rulli
35,Wolves,eng ENG,8,30,14,4,12,31,26,5,46,1.53,28.7,42.9,-14.3,-0.48,L L W W L,"30,700",Raúl Jiménez - 6,José Sá
36,Monaco,fr FRA,7,29,12,8,9,43,30,13,44,1.52,40.8,30.7,10,0.35,D L W L W,"5,734",Wissam Ben Yedder - 17,Alexander Nübel
37,Lens,fr FRA,8,29,12,8,9,45,39,6,44,1.52,41,31.4,9.5,0.33,D W L D W,"26,842","Seko Fofana, Arnaud Kalimuendo - 7",Jean-Louis Leca
38,Köln,de GER,7,27,10,10,7,38,40,-2,40,1.48,38.2,39.8,-1.6,-0.06,W D L W D,"28,114",Anthony Modeste - 15,Marvin Schwäbe
39,Nantes,fr FRA,9,29,12,6,11,36,31,5,42,1.45,29.3,38.1,-8.7,-0.3,W D W L L,"19,011",Randal Kolo Muani - 10,Alban Lafont
40,Lyon,fr FRA,10,29,11,10,8,40,37,3,42,1.45,50.3,38.9,11.3,0.39,D L W L D,"29,344",Moussa Dembélé - 10,Anthony Lopes
41,Sassuolo,it ITA,9,30,11,10,9,55,49,6,43,1.43,45.6,50.5,-4.9,-0.16,W W W D W,"6,686",Domenico Berardi - 14,Andrea Consigli
42,Mainz 05,de GER,10,26,11,4,11,39,30,9,37,1.42,38.5,31.6,6.8,0.26,D W L L W,"14,943",Jonathan Burkardt - 9,Robin Zentner
43,Athletic Club,es ESP,8,29,10,11,8,33,28,5,41,1.41,38.9,29.2,9.6,0.33,W L W L D,"30,968",Iñaki Williams - 7,Unai Simón
44,Montpellier,fr FRA,11,29,12,5,12,43,40,3,41,1.41,32.3,40.9,-8.6,-0.3,W L L D W,"10,158","Sepe Elye Wahi, Stephy Mavididi - 8",Jonas Omlin
45,Eint Frankfurt,de GER,8,27,10,8,9,39,38,1,38,1.41,36.7,42.8,-6,-0.22,L L W W D,"18,438",Rafael Borré - 7,Kevin Trapp
46,Union Berlin,de GER,9,27,10,8,9,33,38,-5,38,1.41,37.4,36.9,0.5,0.02,L W L D L,"11,596",Taiwo Awoniyi - 11,Andreas Luthe
47,Hellas Verona,it ITA,10,30,11,9,10,55,47,8,42,1.4,41,36.2,4.8,0.16,D W D L D,"11,197",Giovanni Simeone - 15,Lorenzo Montipò
48,Valencia,es ESP,9,29,10,10,9,42,43,-1,40,1.38,32,37.1,-5.2,-0.18,L W W D W,"26,610",Gonçalo Guedes - 11,Jasper Cillessen
49,Leicester City,eng ENG,10,27,10,6,11,42,46,-4,36,1.33,37.8,46.3,-8.5,-0.31,L W W L W,"32,228",Jamie Vardy - 10,Kasper Schmeichel
50,Osasuna,es ESP,10,29,10,8,11,29,36,-7,38,1.31,27.9,30.4,-2.5,-0.09,L L W L W,"16,516","Ezequiel Ávila, Kike - 5",Sergio Herrera
51,Aston Villa,eng ENG,9,29,11,3,15,41,40,1,36,1.24,32.6,36.6,-4,-0.14,W W W L L,"41,869",Ollie Watkins - 7,Emiliano Martínez
52,Celta Vigo,es ESP,11,29,9,9,11,33,32,1,36,1.24,32.6,36.6,-4.1,-0.14,D L W L D,"9,551",Iago Aspas - 13,Matías Dituro
53,Reims,fr FRA,12,29,8,12,9,32,31,1,36,1.24,27.8,35.9,-8.2,-0.28,D W D W D,"9,914",Hugo Ekitike - 9,Predrag Rajković
54,Espanyol,es ESP,12,29,9,9,11,35,41,-6,36,1.24,31.4,37.8,-6.5,-0.22,D L W D W,"17,710",Raúl de Tomás - 14,Diego López
55,M'Gladbach,de GER,11,27,9,6,12,38,51,-13,33,1.22,43.7,43.9,-0.2,-0.01,L D L W W,"19,714",Jonas Hofmann - 8,Yann Sommer
56,Torino,it ITA,11,29,9,8,12,34,30,4,35,1.21,36.4,28.4,8,0.28,D L D D L,"7,563",Josip Brekalo - 6,Vanja Milinković-Savić
57,Brest,fr FRA,13,29,9,8,12,36,43,-7,35,1.21,34,43,-9,-0.31,D L W L L,"11,424",Franck Honorat - 9,Marco Bizot
58,Southampton,eng ENG,11,29,8,11,10,36,45,-9,35,1.21,39.2,41.4,-2.2,-0.07,W W L L L,"29,784",Che Adams - 7,Alex McCarthy
59,Bochum,de GER,12,27,9,5,13,28,39,-11,32,1.19,31.6,41.3,-9.6,-0.36,D L W L L,"12,962",Sebastian Polter - 8,Manuel Riemann
60,Crystal Palace,eng ENG,12,29,7,13,9,39,38,1,34,1.17,34.9,34.2,0.7,0.02,L W D W D,"24,440",Wilfried Zaha - 9,Vicente Guaita
61,Wolfsburg,de GER,13,27,9,4,14,29,42,-13,31,1.15,37.5,39.1,-1.6,-0.06,L D W L L,"9,481","Lukas Nmecha, Wout Weghorst - 6",Koen Casteels
62,Rayo Vallecano,es ESP,13,28,9,5,14,29,34,-5,32,1.14,33.4,35.6,-2.2,-0.08,L L L D L,"7,430","Radamel Falcao, Álvaro García - 5",Stole Dimitrievski
63,Udinese,it ITA,13,29,7,12,10,39,46,-7,33,1.14,33.8,36.3,-2.5,-0.09,D D W D L,"10,130",Gerard Deulofeu - 9,Marco Silvestri
64,Brighton,eng ENG,13,29,7,12,10,26,36,-10,33,1.14,31,37.3,-6.3,-0.22,L L L L L,"30,814",Neal Maupay - 8,Robert Sánchez
65,Bologna,it ITA,14,29,9,6,14,32,44,-12,33,1.14,30.3,38.8,-8.5,-0.29,W D D L L,"13,275",Marko Arnautović - 9,Łukasz Skorupski
66,Angers,fr FRA,14,29,8,8,13,32,41,-9,32,1.1,33.1,36.3,-3.3,-0.11,L L L L W,"6,867","Sofiane Boufal, Thomas Mangani - 6",Danijel Petković
67,Elche,es ESP,14,29,8,8,13,30,40,-10,32,1.1,27.6,44.8,-17.2,-0.59,W L L W L,"14,642","Pere Milla, Lucas Boyé - 7",Édgar Badía
68,Empoli,it ITA,12,30,8,9,13,41,55,-14,33,1.1,38,49.5,-11.5,-0.38,L L D L D,"5,577",Andrea Pinamonti - 9,Guglielmo Vicario
69,Newcastle Utd,eng ENG,14,29,7,10,12,32,49,-17,31,1.07,28.6,42.5,-14,-0.48,W W W L L,"51,249",Callum Wilson - 6,Martin Dúbravka
70,Getafe,es ESP,15,29,6,11,12,27,33,-6,29,1,21.8,30.2,-8.4,-0.29,D D L D D,"8,116",Enes Ünal - 14,David Soria
71,Brentford,eng ENG,15,30,8,6,16,33,47,-14,30,1,35.4,39.3,-3.9,-0.13,L L W W L,"16,889",Ivan Toney - 11,David Raya
72,Augsburg,de GER,15,26,6,8,12,29,44,-15,26,1,26.9,44.2,-17.3,-0.66,L L D W L,"10,928",Michael Gregoritsch - 7,Rafał Gikiewicz
73,Troyes,fr FRA,15,29,7,8,14,27,42,-15,29,1,28.8,40.4,-11.7,-0.4,L D W W D,"8,825",Xavier Chavalerin - 5,Gauthier Gallon
74,Sampdoria,it ITA,15,30,8,5,17,39,51,-12,29,0.97,29.9,45.6,-15.7,-0.52,W L L L W,"5,675",Francesco Caputo - 9,Emil Audero
75,Granada,es ESP,16,29,6,10,13,31,46,-15,28,0.97,30.6,46.6,-16,-0.55,L D L L W,"12,838","Jorge Molina, Luis Javier Suárez - 7",Luís Maximiano
76,Lorient,fr FRA,16,29,6,10,13,24,43,-19,28,0.97,32.6,39.1,-6.5,-0.22,L W L W D,"12,108","Terem Moffi, Armand Lauriente - 4",Paul Nardi
77,Clermont Foot,fr FRA,17,29,7,7,15,28,51,-23,28,0.97,31.6,38.5,-6.9,-0.24,W D L L L,"10,117",Mohamed Bayo - 10,Ouparine Djoco
78,Spezia,it ITA,16,30,8,5,17,31,54,-23,29,0.97,28.7,53.1,-24.4,-0.81,L L L W L,"5,421",Daniele Verde - 6,Ivan Provedel
79,Leeds United,eng ENG,16,30,7,8,15,34,67,-33,29,0.97,39.4,55,-15.7,-0.52,L L L W W,"36,288",Raphael Dias Belloli - 9,Illan Meslier
80,Stuttgart,de GER,14,27,6,8,13,35,50,-15,26,0.96,34.1,42.4,-8.3,-0.31,D L W D W,"21,029",Konstantinos Mavropanos - 4,Florian Müller
81,Hertha BSC,de GER,16,27,7,5,15,29,60,-31,26,0.96,27.2,47,-19.8,-0.73,L L L L W,"14,193",Stevan Jovetić - 6,Alexander Schwolow
82,Arminia,de GER,17,27,5,10,12,22,38,-16,25,0.93,23,47.8,-24.9,-0.92,W L L L L,"14,151",Masaya Okugawa - 8,Stefan Ortega
83,Cádiz,es ESP,17,29,5,12,12,25,41,-16,27,0.93,26.8,42.8,-15.9,-0.55,D D W L W,"12,958",Álvaro Negredo - 6,Jeremías Ledesma
84,Everton,eng ENG,17,27,7,4,16,29,47,-18,25,0.93,29.6,39.3,-9.7,-0.36,L L L L W,"38,204",Demarai Gray - 5,Jordan Pickford
85,Saint-Étienne,fr FRA,18,29,6,9,14,29,51,-22,27,0.93,30.9,42.3,-11.4,-0.39,D L W D D,"21,052",Wahbi Khazri - 9,Etienne Green
86,Mallorca,es ESP,18,29,6,8,15,26,49,-23,26,0.9,31,37.7,-6.7,-0.23,L L L L L,"11,629",Salva Sevilla - 4,Manolo Reina
87,Cagliari,it ITA,17,30,5,10,15,28,54,-26,25,0.83,32.5,49.4,-16.9,-0.56,D W L L L,"7,817",João Pedro - 10,Alessio Cragno
88,Metz,fr FRA,19,29,4,11,14,26,52,-26,23,0.79,22.7,43.9,-21.3,-0.73,D D L D L,"13,643","Fabien Centonze, Nicolas de Préville - 4",Alexandre Oukidja
89,Burnley,eng ENG,19,27,3,12,12,22,38,-16,21,0.78,23.9,39.2,-15.4,-0.57,W D L L L,"18,948",Maxwel Cornet - 6,Nick Pope
90,Alavés,es ESP,19,29,5,7,17,23,48,-25,22,0.76,29,43.2,-14.2,-0.49,L D D L L,"10,765",Joselu - 12,Fernando Pacheco
91,Watford,eng ENG,18,29,6,4,19,29,55,-26,22,0.76,30.8,49.6,-18.7,-0.65,L D L L W,"20,573",Emmanuel Dennis - 9,Ben Foster
92,Venezia,it ITA,19,29,5,7,17,25,54,-29,22,0.76,27,50.6,-23.5,-0.81,D L L L L,"6,467","Thomas Henry, David Okereke - 6",Sergio Romero
93,Bordeaux,fr FRA,20,29,4,10,15,38,70,-32,22,0.76,32.1,53.7,-21.6,-0.75,D D L L L,"20,919",Hwang Ui-jo - 10,Benoît Costil
94,Genoa,it ITA,18,30,2,16,12,23,47,-24,22,0.73,28.9,41.4,-12.5,-0.42,D D D D W,"9,954",Mattia Destro - 9,Salvatore Sirigu
95,Levante,es ESP,20,29,3,10,16,31,58,-27,19,0.66,35.3,40.8,-5.5,-0.19,D W L D L,"14,411",José Luis Morales - 7,Cárdenas
96,Norwich City,eng ENG,20,29,4,5,20,18,63,-45,17,0.59,24.7,55.5,-30.8,-1.06,L L L L L,"26,878",Teemu Pukki - 8,Tim Krul
97,Greuther Fürth,de GER,18,27,3,6,18,24,70,-46,15,0.56,26.5,48.3,-21.8,-0.81,L D L L D,"6,311",Branimir Hrgota - 8,Sascha Burchert
98,Salernitana,it ITA,20,29,3,7,19,22,68,-46,16,0.55,24.7,52.5,-27.8,-0.99,D D L D L,"12,775",Federico Bonazzoli - 7,Vid Belec
